Year,Meet,Elevation
2015,2015 UCO Indoor Inv,
2015,2015 UCO Indoor Open,
2015,2015 UCO Land Run,
2015,2015 UNF Spring Break Invitational,
2015,2015 UW Husky Classic,
2015,2015 UW Indoor Invitational,
2015,2015 UW Indoor Open,
2015,2015 UW Indoor Preview,
2015,2015 University of North Georgia XC Invitational,
2015,2015 University of Southern Mississippi Invitational,
2015,2015 WWU Ralph Vernacchia Track & Field Meet,
2015,2015 Wendy's/PSU Invitational,
2015,2015 Wheaton Invitational,
2015,2015 Willamette Invitational,
2015,2015 Willamette Opener,
2015,2015 Woody Greeno/Nebraska Inv,
2015,2015 Yellow Jacket Spring Open,
2016,2015 Yellowjacket Holiday Open,
2015,2015 Yellowjacket Invite XC,
2016,2016 Adidas Winthrop University Invitational,
2016,2016 Al Bortke Open,
2016,2016 Ash Creek Invitational,
2016,2016 Battle Road Twilight Meet #1,
2016,2016 Big Red Invitational,
2016,2016 Bowdoin Invitational,
2016,2016 CSC Twilight,
2016,2016 Cal U Early Bird,
2016,2016 Colgate Class of 1932 Invitational,
2016,2016 Colonial Relays  Mar 31 -,
2016,2016 Concordia Classic,
2016,2016 Concordia Indoor Invite,
2016,2016 Conference Carolinas Championships,
2016,2016 Cornell Southern Tier Collegiate Open,
2016,2016 Cowley County Tiger Invite,
2016,2016 Dartmouth Indoor Classic,
2016,2016 Dartmouth Relays - College/Open,
2016,2016 Dave Little Alumi Mile,
2016,2016 Drake Relays presented by Hy-Vee,
2016,2016 ECC Outdoor Championships,
2016,2016 ESU Papa John's Invite,
2016,2016 ESU Relays,
2016,2016 Emilie Mondor,
2016,2016 Fred Hardy Invitational,
2016,2016 Fredonia XC Invite,
2016,2016 GLIAC Outdoor Track & Field Championship,
2016,2016 GNAC Cross Country Championship,
2016,2016 GNAC Indoor Championship,
2016,2016 GNAC Outdoor Championship,
2016,2016 Gage McSpadden Invitational,
2016,2016 Geneseo Early Mid-Week,
2016,2016 Gladstein Invitational,
2016,2016 Greater Boston Track Club Invitational (GBTC),
2016,2016 Gulf Coast Stampede,
2016,2016 Gulf South Conference Championships,
2016,2016 Holiday Inn Invitational,
2017,2016 Hoosier Open,
2016,2016 IC4A/ECAC Indoor Track and Field Championships,
2017,2016 Jay Carisella Track & Field Invitational,
2016,2016 Jayhawk Classic,
2016,2016 Jim Dutcher Memorial,
2016,2016 Kentucky Invitational,
2016,2016 Kip Janvrin Open,
2016,2016 Liberty Collegiate Invite,
2016,2016 Liberty Twilight,
2016,2016 MIAA Indoor Championships,
2016,2016 MIAA Outdoor Championships,
2016,2016 MIAA vs. NSIC Showdown,
2016,2016 MSU Spartan Invitational,
2016,2016 Marc Deneault Invitational Cornell,
2016,2016 Maroon Classic,
2017,2016 Marty Pushkin Open,
2016,2016 Michigan Intercollegiate Championships,
